Date,Open,High,Low,Close,Adj Close,Volume
"Jul 30, 2020",97.54,97.74,96.05,97.02,86.21,"14,834,800"
"Jul 29, 2020",97.07,99.71,97.00,99.68,88.58,"12,743,500"
"Jul 28, 2020",96.50,97.89,96.50,97.32,86.48,"11,754,300"
"Jul 27, 2020",97.51,97.63,96.17,96.90,86.11,"11,959,100"
"Jul 24, 2020",99.60,99.80,97.94,98.28,87.33,"12,744,200"
"Jul 23, 2020",98.50,99.35,97.97,98.98,87.96,"12,870,200"
"Jul 22, 2020",99.65,100.13,97.53,98.69,87.70,"14,271,200"
"Jul 21, 2020",97.71,100.05,97.64,99.41,88.34,"17,798,100"
"Jul 20, 2020",97.43,98.39,97.26,97.30,86.46,"14,458,100"
"Jul 17, 2020",100.00,100.08,98.14,98.16,87.23,"16,137,700"
"Jul 16, 2020",98.78,101.22,98.55,100.01,88.87,"16,886,900"
"Jul 15, 2020",100.89,101.29,98.65,99.73,88.62,"22,508,400"
"Jul 14, 2020",98.37,99.95,96.64,98.21,87.27,"42,731,700"
"Jul 13, 2020",98.73,99.27,96.23,97.65,86.77,"32,079,200"
"Jul 10, 2020",92.00,96.84,91.87,96.27,85.55,"28,954,200"
